Dish,Dish_Type,Type,Category,Ingredient_1,Ingredient_2,Ingredient_3
Idly,Breakfast,Breakfast,Vegetarian,black gram , rice, water
Sambar Idly,Breakfast,Breakfast,Vegetarian,vegetables, dal, sambar powder 
Vada,Breakfast,Breakfast,Vegetarian,dal, water,
Dosa,Breakfast,Breakfast,Vegetarian,black gram, rice,
Mysore Bonda,Breakfast,Breakfast,Vegetarian,rice, all purpose flour, baking soda
Pesarattu-Upma,Breakfast,Breakfast,Vegetarian,moong beans, semolina,
Only Upma,Breakfast,Breakfast,Vegetarian,semolina,,
Only Pesarattu,Breakfast,Breakfast,Vegetarian,moong beans,,
Oothappam,Breakfast,Breakfast,Vegetarian,black gram, rice,
Pongal,Breakfast,Breakfast,Vegetarian,rice, moong beans,
Appam,Breakfast,Breakfast,Vegetarian,rice, coconut milk, sugar
Idiyappam,Breakfast,Breakfast,Vegetarian,rice, water, coconut
Parotta,Breakfast,Breakfast,Vegetarian,flour, semolina, ghee
Chole Bhature,Breakfast,Breakfast,Vegetarian,chickpeas, flour, yoghurt
Paratha,Breakfast,Breakfast,Vegetarian,flour, semolina, ghee
Methi Thepla,Breakfast,Breakfast,Vegetarian,flour, chickpea. Ghee,
Poori Bhaji,Breakfast,Breakfast,Vegetarian,flour, potato, ghee
Poha,Breakfast,Breakfast,Vegetarian,flattened rice,vegetables,
Sandwich,Breakfast,Breakfast,Vegetarian,bread,vegetables,
Bread Toast,Breakfast,Breakfast,Vegetarian,bread,butter,
Bread Omlette,Breakfast,Breakfast,Non-Vegeterian,bread, egg,
Vegetable Maggi,Breakfast,Breakfast,Vegetarian,noodles,vegetables,
Non-Veg Maggi,Breakfast,Breakfast,Non-Vegeterian,noodles, egg,chicken
Veg Cutlet,Lunch and Dinner,Starters,Vegetarian,vegetables, bread,
Veg Dumplings,Lunch and Dinner,Starters,Vegetarian,flour, vegetables,
Veg Pakora,Lunch and Dinner,Starters,Vegetarian,vegetables, flour ,
Veg lollipop,Lunch and Dinner,Starters,Vegetarian,vegetables, corn flour, spices
Hara Bara Kabab,Lunch and Dinner,Starters,Vegetarian,vegetables, flour, bread
